unit_id,is_naval,land_unit_id,naval_unit_id,recruitment_cost,upkeep_cost,weight
3c_Ala_Noble_Steppe_Cataphracts,0,3c_Ala_Noble_Steppe_Cataphracts,3c_barbarian_transport,1200,240,very_heavy
3c_Ala_Noble_Steppe_Cataphracts_commander,0,3c_Ala_Noble_Steppe_Cataphracts_comm,3c_barbarian_transport,1200,240,very_heavy
3c_Ala_Noble_Steppe_Lancers,0,3c_Ala_Noble_Steppe_Lancers,3c_barbarian_transport,750,150,very_heavy
3c_Ala_Steppe_Cataphract_Archers,0,3c_Ala_Steppe_Cataphract_Archers,3c_barbarian_transport,1000,200,very_heavy
3c_Ala_Steppe_Cataphract_Archers_commander,0,3c_Ala_Steppe_Cataphract_Archers,3c_barbarian_transport,1000,200,very_heavy
3c_Ala_Steppe_Cavalry,0,3c_Ala_Steppe_Cavalry,3c_barbarian_transport,680,135,heavy
3c_Ala_Steppe_Horse_Archers,0,3c_Ala_Steppe_Horse_Archers,3c_barbarian_transport,400,80,very_light
3c_Ala_Steppe_Horse_Skirmishers,0,3c_Ala_Steppe_Horse_Skirmishers,3c_barbarian_transport,400,80,very_light
3c_Ala_Steppe_Lancers,0,3c_Ala_Steppe_Lancers,3c_barbarian_transport,340,70,medium
3c_Ala_Steppe_Warband,0,3c_Ala_Steppe_Warband,3c_barbarian_transport,350,70,light
3c_Ala_Taifali_Cavalry,0,3c_Ala_Taifali_Cavalry,3c_barbarian_transport,700,140,medium
3c_Ara_Arabian_Camel_Archers,0,3c_Ara_Arabian_Camel_Archers,3c_pel_transport,450,90,medium
3c_Ara_Arabian_Camel_Archers_commander,0,3c_Ara_Arabian_Camel_Archers,3c_pel_transport,450,90,medium
3c_Ara_Arabian_Camel_Spearmen,0,3c_Ara_Arabian_Camel_Spearmen,3c_pel_transport,400,80,medium
3c_Ara_Arabian_Javelinmen,0,3c_Ara_Arabian_Javelinmen,3c_pel_transport,290,60,very_light
3c_Ara_Arabian_Nobles,0,3c_Ara_Arabian_Nobles,3c_pel_transport,720,145,medium
3c_Ara_Arabian_Nobles_commander,0,3c_Ara_Arabian_Nobles,3c_pel_transport,720,145,medium
3c_Ara_Arabian_Slingers,0,3c_Ara_Arabian_Slingers,3c_pel_transport,260,50,very_light
3c_Ara_Arabian_Spearmen,0,3c_Ara_Arabian_Spearmen,3c_pel_transport,180,35,medium
3c_Ara_Arabian_Swordsmen,0,3c_Ara_Arabian_Swordsmen,3c_pel_transport,450,90,medium
3c_Ara_Assault_Dieres,1,3c_Ara_Arabian_Spearmen,3c_persian_two,310,60,light
3c_Ara_Assault_Hemiolia,1,3c_Ara_Arabian_Javelinmen,3c_persian_one_halfer,440,90,light
3c_Ara_Assault_Trieres,1,3c_Ara_Arabian_Swordsmen,3c_persian_four,680,135,medium
3c_Ara_Assault_Trieres_commander,1,3c_Ara_Arabian_Swordsmen,3c_persian_four,680,135,medium
3c_Ara_Missile_Trieres,1,3c_Ara_Arabian_Slingers,3c_persian_three,530,105,light
3c_Arm_Armenian_Archers,0,3c_Arm_Armenian_Archers,3c_pel_transport,420,85,light
3c_Arm_Armenian_Pikemen,0,3c_Arm_Armenian_Pikemen,3c_pel_transport,500,100,heavy
3c_Arm_Armenian_Slingers,0,3c_Arm_Armenian_Slingers,3c_pel_transport,420,85,very_light
3c_Arm_Armenian_Spearmen,0,3c_Arm_Armenian_Spearmen,3c_pel_transport,320,65,medium
3c_Arm_Armoured_Armenian_Archers,0,3c_Arm_Armoured_Armenian_Archers,3c_pel_transport,580,115,heavy
3c_Arm_Armoured_Armenian_Pikemen,0,3c_Arm_Armoured_Armenian_Pikemen,3c_pel_transport,720,145,heavy
3c_Arm_Armoured_Axe_Warriors,0,3c_Arm_Armoured_Axe_Warriors,3c_pel_transport,800,160,heavy
3c_Arm_Armoured_Horse_Archers,0,3c_Arm_Armoured_Horse_Archers,3c_pel_transport,640,130,medium
3c_Arm_Artillery_Penteres,1,3c_Eas_Onager_Shp,3c_persian_onager_five,750,150,medium
3c_Arm_Assault_Dieres,1,3c_Eas_Eastern_Spearmen,3c_persian_two,310,60,light
3c_Arm_Assault_Tetreres,1,3c_Eas_Eastern_Infantry,3c_persian_four,640,130,medium
3c_Arm_Assault_Tetreres_commander,1,3c_Eas_Eastern_Infantry,3c_persian_four,640,130,medium
3c_Arm_Azat_Guard,0,3c_Arm_Azat_Guard,3c_pel_transport,1340,270,heavy
3c_Arm_Azat_Guard_commander,0,3c_Arm_Azat_Guard,3c_pel_transport,1340,270,heavy
3c_Arm_Azat_Knights,0,3c_Arm_Azat_Knights,3c_pel_transport,1300,260,very_heavy
3c_Arm_Azat_Knights_commander,0,3c_Arm_Azat_Knights_comm,3c_pel_transport,1300,260,very_heavy
3c_Arm_Fire_Pot_Dieres,1,3c_Eas_Eastern_Spearmen,3c_persian_fire_pot_two,360,70,light
3c_Arm_Light_Artillery_Penteres,1,3c_Eas_Ballista_Shp,3c_persian_ballista_five,630,125,medium
3c_Arm_Missile_Penteres,1,3c_Arm_Armoured_Armenian_Archers,3c_persian_five,950,190,medium
3c_Arm_Missile_Trieres,1,3c_Arm_Armenian_Slingers,3c_persian_three,530,105,light
3c_Arm_Noble_Armenian_Archers,0,3c_Arm_Noble_Armenian_Archers,3c_pel_transport,720,145,heavy
3c_Arm_Noble_Armenian_Archers_commander,0,3c_Arm_Noble_Armenian_Archers,3c_pel_transport,720,145,heavy
3c_Arm_Noble_Armenian_Cavalry,0,3c_Arm_Noble_Armenian_Cavalry,3c_pel_transport,780,155,heavy
3c_Arm_Noble_Cataphracts,0,3c_Arm_Noble_Cataphracts,3c_pel_transport,1450,290,very_heavy
3c_Arm_Noble_Cataphracts_commander,0,3c_Arm_Noble_Cataphracts,3c_pel_transport,1450,290,very_heavy
3c_Arm_Noble_Horse_Archers,0,3c_Arm_Noble_Horse_Archers,3c_pel_transport,880,175,medium
3c_Arm_Noble_Horse_Archers_commander,0,3c_Arm_Noble_Horse_Archers,3c_pel_transport,880,175,medium
3c_Arm_Persian_Spearmen,0,3c_Arm_Persian_Spearmen,3c_pel_transport,300,60,medium
3c_Arm_Pursuit_Trihemiolia,1,3c_Per_Persian_Skirmishers,3c_persian_two_halfer,580,115,light
3c_Arm_Raiding_Hemiolia,1,3c_Per_Persian_Skirmishers,3c_persian_one_halfer,450,90,light
3c_Arm_Scorpion_Penteres,1,3c_Arm_Armoured_Armenian_Archers,3c_persian_double_scorpio_five,1180,235,medium
3c_Arm_Scorpion_Trieres,1,3c_Arm_Armenian_Slingers,3c_persian_scorpio_three,640,130,light
3c_Arm_Tower_Penteres,1,3c_Arm_Armoured_Armenian_Archers,3c_persian_lft_five,1180,235,medium
3c_Arm_Tower_Penteres_commander,1,3c_Arm_Armoured_Armenian_Archers,3c_persian_lft_five,1180,235,medium
3c_Aux_African_Elephants,0,3c_Aux_African_Elephants,3c_pel_transport,1400,280,heavy
3c_Aux_Alae_Cavalry,0,3c_Aux_Alae_Cavalry,3c_pel_transport,640,130,heavy
3c_Aux_Alae_Clibanarii,0,3c_Aux_Alae_Clibanarii,3c_pel_transport,1450,290,very_heavy
3c_Aux_Alae_Skirmishers,0,3c_Aux_Alae_Skirmishers,3c_pel_transport,340,70,light
3c_Aux_Ara_Assault_Bireme,1,3c_Aux_Arabian_Spearmen,3c_roman_two,320,65,light
3c_Aux_Arabian_Camel_Archers,0,3c_Aux_Arabian_Camel_Archers,3c_pel_transport,450,90,medium
3c_Aux_Arabian_Camel_Spearmen,0,3c_Aux_Arabian_Camel_Spearmen,3c_pel_transport,400,80,medium
3c_Aux_Arabian_Spearmen,0,3c_Aux_Arabian_Spearmen,3c_pel_transport,180,35,medium
3c_Aux_Archers,0,3c_Aux_Archers,3c_pel_transport,290,60,very_light
3c_Aux_Armenian_Archers,0,3c_Aux_Armenian_Archers,3c_pel_transport,420,85,heavy
3c_Aux_Armoured_Chariots,0,3c_Aux_Armoured_Chariots,3c_barbarian_transport_small,1100,220,heavy
3c_Aux_Armoured_Gallic_Spearmen,0,3c_Aux_Armoured_Gallic_Spearmen,3c_pel_transport,740,150,heavy
3c_Aux_Armoured_Pikemen,0,3c_Aux_Armoured_Pikemen,3c_pel_transport,740,150,heavy
3c_Aux_Asia_Missile_Quinquereme,1,3c_Aux_Rhodian_Slingers,3c_roman_five,840,170,medium
3c_Aux_Assault_Bireme,1,3c_Aux_Spear_Infantry,3c_roman_two,440,90,light
3c_Aux_Assault_Quadreme,1,3c_Aux_Swordsmen,3c_roman_four,740,150,medium
3c_Aux_Bactrian_Hillmen,0,3c_Aux_Bactrian_Hillmen,3c_pel_transport,260,50,medium
3c_Aux_Bactrian_Horse_Archers,0,3c_Aux_Bactrian_Horse_Archers,3c_pel_transport,700,140,medium
3c_Aux_Bactrian_Light_Cavalry,0,3c_Aux_Bactrian_Light_Cavalry,3c_pel_transport,430,85,light
3c_Aux_Bri_Assault_Bireme,1,3c_Aux_Celtic_Swordsmen,3c_roman_two,390,80,light
3c_Aux_Bri_Missile_Trireme,1,3c_Aux_Briton_Slingers,3c_roman_three,520,105,light
3c_Aux_Briton_Slingers,0,3c_Aux_Briton_Slingers,3c_pel_transport,380,75,very_light
3c_Aux_Camel_Archers,0,3c_Aux_Camel_Archers,3c_pel_transport,450,90,medium
3c_Aux_Camel_Spearmen,0,3c_Aux_Camel_Spearmen,3c_pel_transport,400,80,medium
3c_Aux_Cappadocian_Cavalry,0,3c_Aux_Cappadocian_Cavalry,3c_pel_transport,820,165,heavy
3c_Aux_Celtic_Archers,0,3c_Aux_Celtic_Archers,3c_pel_transport,380,75,very_light
3c_Aux_Celtic_Heavy_Cavalry,0,3c_Aux_Celtic_Heavy_Cavalry,3c_pel_transport,720,145,heavy
3c_Aux_Celtic_Horsemen,0,3c_Aux_Celtic_Horsemen,3c_pel_transport,450,90,light
3c_Aux_Celtic_Spearmen,0,3c_Aux_Celtic_Spearmen,3c_pel_transport,340,70,medium
3c_Aux_Celtic_Swordsmen,0,3c_Aux_Celtic_Swordsmen,3c_pel_transport,580,115,medium
3c_Aux_Chariots,0,3c_Aux_Chariots,3c_barbarian_transport_small,900,180,heavy
3c_Aux_Cretan_Archers,0,3c_Aux_Cretan_Archers,3c_pel_transport,600,120,very_light
3c_Aux_Desert_Riders,0,3c_Aux_Desert_Riders,3c_pel_transport,720,145,medium
3c_Aux_Eas_Assault_Bireme,1,3c_Aux_Hillmen,3c_roman_two,360,70,light
3c_Aux_Eas_Missile_Quinquereme,1,3c_Aux_Syrian_Archers,3c_roman_five,960,190,medium
3c_Aux_Eas_Missile_Trireme,1,3c_Aux_Eastern_Javelinmen,3c_roman_three,570,115,light
3c_Aux_Eastern_Heavy_Cavalry,0,3c_Aux_Eastern_Heavy_Cavalry,3c_pel_transport,750,150,heavy
3c_Aux_Eastern_Javelinmen,0,3c_Aux_Eastern_Javelinmen,3c_pel_transport,360,70,very_light
3c_Aux_Eastern_Pikemen,0,3c_Aux_Eastern_Pikemen,3c_pel_transport,430,85,heavy
3c_Aux_Eastern_Spearmen,0,3c_Aux_Eastern_Spearmen,3c_pel_transport,180,35,medium
3c_Aux_Egy_Assault_Quadreme,1,3c_Aux_Egyptian_Infantry,3c_roman_four,660,130,medium
3c_Aux_Egy_Missile_Trireme,1,3c_Aux_Egyptian_Archers,3c_roman_three,450,90,light
3c_Aux_Egyptian_Archers,0,3c_Aux_Egyptian_Archers,3c_pel_transport,280,55,very_light
3c_Aux_Egyptian_Infantry,0,3c_Aux_Egyptian_Infantry,3c_pel_transport,200,40,medium
3c_Aux_Egyptian_Pikemen,0,3c_Aux_Egyptian_Pikemen,3c_pel_transport,430,85,medium
3c_Aux_Gal_Assault_Quadreme,1,3c_Aux_Gallic_Swordsmen,3c_roman_four,680,135,medium
3c_Aux_Gal_Missile_Trireme,1,3c_Aux_Gallic_Bowmen,3c_roman_three,450,90,light
3c_Aux_Gallic_Bowmen,0,3c_Aux_Gallic_Bowmen,3c_pel_transport,450,90,very_light
3c_Aux_Gallic_Cavalry,0,3c_Aux_Gallic_Cavalry,3c_pel_transport,450,90,medium
3c_Aux_Gallic_Heavy_Infantry,0,3c_Aux_Gallic_Heavy_Infantry,3c_pel_transport,1350,270,very_heavy
3c_Aux_Gallic_Skirmishers,0,3c_Aux_Gallic_Skirmishers,3c_pel_transport,220,45,very_light
3c_Aux_Gallic_Swordsmen,0,3c_Aux_Gallic_Swordsmen,3c_pel_transport,350,70,heavy
3c_Aux_Germanic_Axe_Warriors,0,3c_Aux_Germanic_Axe_Warriors,3c_pel_transport,450,90,medium
3c_Aux_Germanic_Falxmen,0,3c_Aux_Germanic_Falxmen,3c_pel_transport,360,70,medium
3c_Aux_Germanic_Heavy_Infantry,0,3c_Aux_Germanic_Heavy_Infantry,3c_pel_transport,780,155,very_heavy
3c_Aux_Germanic_Hunters,0,3c_Aux_Germanic_Hunters,3c_pel_transport,450,90,very_light
3c_Aux_Germanic_Skirmishers,0,3c_Aux_Germanic_Skirmishers,3c_pel_transport,220,45,very_light
3c_Aux_Germanic_Spear_Masters,0,3c_Aux_Germanic_Spear_Masters,3c_pel_transport,830,165,heavy
3c_Aux_Germanic_Swordsmen,0,3c_Aux_Germanic_Swordsmen,3c_pel_transport,450,90,medium
3c_Aux_Hillmen,0,3c_Aux_Hillmen,3c_pel_transport,220,45,medium
3c_Aux_Hisp_Missile_Trireme,1,3c_Aux_Iberian_Slingers,3c_roman_three,420,85,light
3c_Aux_Horse_Skirmishers,0,3c_Aux_Horse_Skirmishers,3c_pel_transport,460,90,light
3c_Aux_Ibe_Assault_Quadreme,1,3c_Aux_Scutarii,3c_roman_four,800,160,medium
3c_Aux_Ibe_Missile_Trireme,1,3c_Aux_Iberian_Slingers,3c_roman_three,420,85,light
3c_Aux_Iberian_Cavalry,0,3c_Aux_Iberian_Cavalry,3c_pel_transport,500,100,medium
3c_Aux_Iberian_Slingers,0,3c_Aux_Iberian_Slingers,3c_pel_transport,280,55,very_light
3c_Aux_Iberian_Swordsmen,0,3c_Aux_Iberian_Swordsmen,3c_pel_transport,350,70,medium
3c_Aux_Ill_Assault_Bireme,1,3c_Aux_Illyrian_Raiders,3c_roman_two,380,75,light
3c_Aux_Ill_Assault_Quadreme,1,3c_Aux_Illyrian_Swordsmen,3c_roman_four,640,130,medium
3c_Aux_Ill_Missile_Trireme,1,3c_Aux_Illyrian_Archers,3c_roman_three,430,85,light
3c_Aux_Illyrian_Archers,0,3c_Aux_Illyrian_Archers,3c_pel_transport,300,60,very_light
3c_Aux_Illyrian_Armoured_Pikemen,0,3c_Aux_Illyrian_Armoured_Pikemen,3c_pel_transport,740,150,very_heavy
3c_Aux_Illyrian_Cavalry,0,3c_Aux_Illyrian_Cavalry,3c_pel_transport,460,90,medium
3c_Aux_Illyrian_Raiders,0,3c_Aux_Illyrian_Raiders,3c_pel_transport,400,80,medium
3c_Aux_Illyrian_Slingers,0,3c_Aux_Illyrian_Slingers,3c_pel_transport,330,65,very_light
3c_Aux_Illyrian_Swordsmen,0,3c_Aux_Illyrian_Swordsmen,3c_pel_transport,420,85,heavy
3c_Aux_Indian_War_Elephants,0,3c_Aux_Indian_War_Elephants,3c_pel_transport,1500,300,very_heavy
3c_Aux_Lanciarii,0,3c_Aux_Lanciarii,3c_pel_transport,340,70,medium
3c_Aux_Libyan_Infantry,0,3c_Aux_Libyan_Infantry,3c_pel_transport,720,145,heavy
3c_Aux_Missile_Quinquereme,1,3c_Aux_Cretan_Archers,3c_roman_five,1050,210,medium
3c_Aux_Missile_Trireme,1,3c_Aux_Archers,3c_roman_three,440,90,light
3c_Aux_Num_Assault_Bireme,1,3c_Aux_Numidian_Infantry,3c_roman_two,350,70,light
3c_Aux_Num_Missile_Trireme,1,3c_Aux_Numidian_Javelinmen,3c_roman_three,650,130,light
3c_Aux_Numidian_Cavalry,0,3c_Aux_Numidian_Cavalry,3c_pel_transport,580,115,light
3c_Aux_Numidian_Infantry,0,3c_Aux_Numidian_Infantry,3c_pel_transport,280,55,medium
3c_Aux_Numidian_Javelinmen,0,3c_Aux_Numidian_Javelinmen,3c_pel_transport,340,70,very_light
3c_Aux_Peltasts,0,3c_Aux_Peltasts,3c_pel_transport,420,85,light
3c_Aux_Per_Assault_Bireme,1,3c_Aux_Persian_Spearmen,3c_roman_two,390,80,light
3c_Aux_Per_Missile_Trireme,1,3c_Aux_Persian_Archers,3c_roman_three,460,90,light
3c_Aux_Persian_Archers,0,3c_Aux_Persian_Archers,3c_pel_transport,360,70,very_light
3c_Aux_Persian_Cataphracts,0,3c_Aux_Persian_Cataphracts,3c_pel_transport,1100,220,very_heavy
3c_Aux_Persian_Cavalry,0,3c_Aux_Persian_Cavalry,3c_pel_transport,640,130,heavy
3c_Aux_Persian_Horse_Skirmishers,0,3c_Aux_Persian_Horse_Skirmishers,3c_pel_transport,390,80,light
3c_Aux_Persian_Skirmishers,0,3c_Aux_Persian_Skirmishers,3c_pel_transport,320,65,very_light
3c_Aux_Persian_Spearmen,0,3c_Aux_Persian_Spearmen,3c_pel_transport,300,60,medium
3c_Aux_Pontic_Cavalry,0,3c_Aux_Pontic_Cavalry,3c_pel_transport,1200,240,very_heavy
3c_Aux_Rhodian_Slingers,0,3c_Aux_Rhodian_Slingers,3c_pel_transport,590,120,very_light
3c_Aux_Sab_Assault_Bireme,1,3c_Aux_Sabean_Spearmen,3c_roman_two,320,65,light
3c_Aux_Sab_Missile_Trireme,1,3c_Aux_Sabean_Archers,3c_roman_three,420,85,light
3c_Aux_Sabean_Archers,0,3c_Aux_Sabean_Archers,3c_pel_transport,360,70,very_light
3c_Aux_Sabean_Cavalry,0,3c_Aux_Sabean_Cavalry,3c_pel_transport,620,125,medium
3c_Aux_Sabean_Spearmen,0,3c_Aux_Sabean_Spearmen,3c_pel_transport,180,35,medium
3c_Aux_Sarmatian_Horse_Archers,0,3c_Aux_Sarmatian_Horse_Archers,3c_pel_transport,360,70,light
3c_Aux_Sarmatian_Light_Cavalry,0,3c_Aux_Sarmatian_Light_Cavalry,3c_pel_transport,380,75,light
3c_Aux_Scutarii,0,3c_Aux_Scutarii,3c_pel_transport,620,125,medium
3c_Aux_Scutarii_Cavalry,0,3c_Aux_Scutarii_Cavalry,3c_pel_transport,680,135,heavy
3c_Aux_Scythed_Chariots,0,3c_Aux_Scythed_Chariots,3c_pel_transport,1380,275,very_heavy
3c_Aux_Spear_Infantry,0,3c_Aux_Spear_Infantry,3c_pel_transport,400,80,medium
3c_Aux_Ste_Assault_Bireme,1,3c_Aux_Steppe_Warriors,3c_roman_two,340,70,light
3c_Aux_Steppe_Cavalry,0,3c_Aux_Steppe_Cavalry,3c_pel_transport,680,135,heavy
3c_Aux_Steppe_Warriors,0,3c_Aux_Steppe_Warriors,3c_pel_transport,270,55,medium
3c_Aux_Swordsmen,0,3c_Aux_Swordsmen,3c_pel_transport,420,85,heavy
3c_Aux_Syrian_Archers,0,3c_Aux_Syrian_Archers,3c_pel_transport,520,105,light
3c_Aux_Thr_Assault_Bireme,1,3c_Aux_Thracian_Warriors,3c_roman_two,400,80,light
3c_Aux_Thr_Missile_Trireme,1,3c_Aux_Thracian_Slingers,3c_roman_three,380,75,light
3c_Aux_Thracian_Cavalry,0,3c_Aux_Thracian_Cavalry,3c_pel_transport,450,90,medium
3c_Aux_Thracian_Heroic_Riders,0,3c_Aux_Thracian_Heroic_Riders,3c_pel_transport,1300,260,very_heavy
3c_Aux_Thracian_Horse_Skirmishers,0,3c_Aux_Thracian_Horse_Skirmishers,3c_pel_transport,450,90,light
3c_Aux_Thracian_Light_Cavalry,0,3c_Aux_Thracian_Light_Cavalry,3c_pel_transport,500,100,light
3c_Aux_Thracian_Slingers,0,3c_Aux_Thracian_Slingers,3c_pel_transport,280,55,very_light
3c_Aux_Thracian_Warriors,0,3c_Aux_Thracian_Warriors,3c_pel_transport,420,85,medium
3c_Bri_Ballista,0,3c_Bri_Ballista,3c_barbarian_transport_small,570,110,medium
3c_Bri_Ballista_Bastion,0,3c_Bri_Ballista_Bastion,3c_barbarian_transport_small,570,110,medium
3c_Bri_Cheiroballistra,0,3c_Bri_Cheiroballistra,3c_barbarian_transport_small,520,100,light
3c_Bri_Giant_Ballista,0,3c_Bri_Giant_Ballista,3c_barbarian_transport_small,730,150,medium
3c_Bri_Large_Onager,0,3c_Bri_Large_Onager,3c_barbarian_transport_small,780,160,medium
3c_Bri_Onager,0,3c_Bri_Onager,3c_barbarian_transport_small,580,120,medium
3c_Bri_Onager_Bastion,0,3c_Bri_Onager_Bastion,3c_barbarian_transport_small,580,120,medium
3c_Bri_Scorpion,0,3c_Bri_Scorpion,3c_barbarian_transport_small,490,100,medium
3c_Bri_Scorpion_Bastion,0,3c_Bri_Scorpion_Bastion,3c_barbarian_transport_small,490,100,medium
3c_Cal_Ambushers,0,3c_Cal_Ambushers,3c_barbarian_transport,670,135,very_light
3c_Cal_Armoured_Chariots,0,3c_Cal_Armoured_Chariots,3c_barbarian_transport_small,1100,220,heavy
3c_Cal_Armoured_Chariots_commander,0,3c_Cal_Armoured_Chariots,3c_barbarian_transport_small,1100,220,heavy
3c_Cal_Assault_Raider,1,3c_Cel_Celtic_Sword_Band,3c_barbarian_raider_melee,350,70,light
3c_Cal_Caledonian_Heroic_Riders,0,3c_Cal_Caledonian_Heroic_Riders,3c_barbarian_transport,1280,255,heavy
3c_Cal_Caledonian_Heroic_Riders_commander,0,3c_Cal_Caledonian_Heroic_Riders_comm,3c_barbarian_transport,1280,255,heavy
3c_Cal_Caledonian_Oathsworn,0,3c_Cal_Caledonian_Oathsworn,3c_barbarian_transport,1280,255,heavy
3c_Cal_Caledonian_Oathsworn_commander,0,3c_Cal_Caledonian_Oathsworn_comm,3c_barbarian_transport,1280,255,heavy
3c_Cal_Caledonian_Spear_Wall,0,3c_Cal_Caledonian_Spear_Wall,3c_barbarian_transport,680,135,heavy
3c_Cal_Celtic_Sword_Band,0,3c_Cel_Celtic_Sword_Band,3c_barbarian_transport,340,70,medium
3c_Cal_Chosen_Sword_Band,0,3c_Cal_Chosen_Sword_Band,3c_barbarian_transport,730,145,heavy
3c_Cal_Elite_Highland_Archers,0,3c_Cal_Elite_Highland_Archers,3c_barbarian_transport,500,100,light
3c_Cal_Heavy_Assault_Raider,1,3c_Cel_Painted_Warriors,3c_barbarian_heavy_raider,850,170,heavy
3c_Cal_Heavy_Assault_Raider_commander,1,3c_Cel_Painted_Warriors,3c_barbarian_heavy_raider,850,170,heavy
3c_Cal_Highland_Archers,0,3c_Cal_Highland_Archers,3c_barbarian_transport,420,85,very_light
3c_Cal_Medium_Assault_Raider,1,3c_Cel_Celtic_Swordsmen,3c_barbarian_medium_raider_melee,580,115,medium
3c_Cal_Medium_Assault_Raider_commander,1,3c_Cel_Celtic_Swordsmen,3c_barbarian_medium_raider_melee,580,115,medium
3c_Cal_Medium_Missile_Raider,1,3c_Cal_Highland_Archers,3c_barbarian_medium_raider_ranged,630,125,medium
3c_Cal_Missile_Raider,1,3c_Cel_Celtic_Archers,3c_barbarian_raider_ranged,440,90,light
3c_Cal_Scatha_Shadows,0,3c_Cal_Scatha_Shadows,3c_barbarian_transport,760,150,very_light
3c_Cel_Assault_Raider,1,3c_Cel_Celtic_Sword_Band,3c_barbarian_raider_melee,380,75,light
3c_Cel_Celtic_Archers,0,3c_Cel_Celtic_Archers,3c_barbarian_transport,380,75,light
3c_Cel_Celtic_Horse_Skirmishers,0,3c_Cel_Celtic_Horse_Skirmishers,3c_barbarian_transport,440,90,very_light
3c_Cel_Celtic_Horsemen,0,3c_Cel_Celtic_Horsemen,3c_barbarian_transport,450,90,light
3c_Cel_Celtic_Levy,0,3c_Cel_Celtic_Levy,3c_barbarian_transport,210,40,light
3c_Cel_Celtic_Nobles,0,3c_Cel_Celtic_Nobles,3c_barbarian_transport,720,145,heavy
3c_Cel_Celtic_Nobles_commander,0,3c_Cel_Celtic_Nobles,3c_barbarian_transport,720,145,heavy
3c_Cel_Celtic_Skirmishers,0,3c_Cel_Celtic_Skirmishers,3c_barbarian_transport,220,45,light
3c_Cel_Celtic_Spearmen,0,3c_Cel_Celtic_Spearmen,3c_barbarian_transport,340,70,medium
3c_Cel_Celtic_Sword_Band,0,3c_Cel_Celtic_Sword_Band,3c_barbarian_transport,340,70,medium
