land_unit_id,onscreen_name,accuracy,ammo,armour_id,bonus_hit_points,category,charge_bonus,melee_attack,melee_defence,morale,melee_weapon_id,range_weapon_id,reload,shield_id
3c_Ala_Steppe_Cavalry,Steppe Cavalry,5,0,scale,15,cavalry,38,48,17,55,rome_celtic_spear_cav,,0,germanic_cav
3c_Ala_Steppe_Horse_Archers,Steppe Horse Archers,5,15,cloth,10,cavalry,4,9,13,30,rome_shortsword,rome_composite_bow_horse,18,none
3c_Ala_Steppe_Horse_Skirmishers,Steppe Horse Skirmishers,5,7,cloth,10,cavalry,4,9,13,30,rome_shortsword,rome_javelin,18,none
3c_Ala_Steppe_Lancers,Steppe Lancers,5,0,cloth,10,cavalry,51,34,16,35,rome_lance,,0,none
3c_Ala_Steppe_Warband,Steppe Warband,5,0,cloth,5,inf_melee,25,25,22,25,rome_celtic_hellenic_sword,,0,oval
3c_Ala_Taifali_Cavalry,Taifali Cavalry,5,2,mail_improved,15,cavalry,32,40,15,60,rome_spear_cav_elite,rome_javelin_precursor,0,cavalry
3c_Ara_Arabian_Camel_Archers,Arabian Camel Archers,5,13,cloth,5,cavalry,8,16,15,35,rome_shortsword,rome_recurve_bow_horse,13,none
3c_Ara_Arabian_Camel_Archers_comm,Arabian Camel Archers Bodyguard,5,13,cloth,5,cavalry,8,16,15,35,rome_shortsword,rome_recurve_bow_horse,13,none
3c_Ara_Arabian_Camel_Spearmen,Arabian Camel Spearmen,5,0,padded,5,cavalry,25,28,10,40,rome_spear_cav,,0,caetra_cavalry
3c_Ara_Arabian_Javelinmen,Arabian Javelinmen,5,7,cloth,5,inf_ranged,3,8,12,25,rome_shortsword,rome_javelin,13,caetra
3c_Ara_Arabian_Nobles,Arabian Nobles,5,2,scale,10,cavalry,28,46,10,40,rome_generic_sword_cav,rome_javelin_precursor,0,caetra_cavalry
3c_Ara_Arabian_Nobles_comm,Arabian Nobles Bodyguard,5,2,scale,10,cavalry,28,46,10,40,rome_generic_sword_cav,rome_javelin_precursor,0,caetra_cavalry
3c_Ara_Arabian_Slingers,Arabian Slingers,5,25,cloth,5,inf_ranged,3,8,12,25,rome_shortsword,rome_sling,13,caetra
3c_Ara_Arabian_Spearmen,Arabian Spearmen,5,0,cloth,5,inf_melee,11,13,24,30,rome_spear,,0,oval
3c_Ara_Arabian_Swordsmen,Arabian Swordsmen,5,2,padded,20,inf_melee,24,30,20,35,rome_hoplite_sword,rome_javelin_precursor,0,oval
3c_Ara_Arabian_Swordsmen_comm,Arabian Swordsmen Bodyguard,5,2,padded,20,inf_melee,24,30,20,35,rome_hoplite_sword,rome_javelin_precursor,0,oval
3c_Arm_Armenian_Archers,Armenian Archers,5,15,cloth,10,inf_ranged,4,11,15,40,rome_shortsword,rome_recurve_bow,18,none
3c_Arm_Armenian_Pikemen,Armenian Pikemen,5,0,spolas,15,inf_melee,7,34,15,45,rome_pike,,0,pikemen
3c_Arm_Armenian_Slingers,Armenian Slingers,5,25,light_padded,15,inf_ranged,6,10,13,40,rome_shortsword,rome_sling_lead,28,small_round
3c_Arm_Armenian_Spearmen,Armenian Spearmen,5,0,padded_improved,5,inf_melee,11,15,25,35,rome_spear,,0,tower
3c_Arm_Armoured_Armenian_Archers,Armoured Armenian Archers,5,15,scale,15,inf_ranged,18,28,32,50,rome_spear_anti_cav,rome_recurve_bow_elite,23,none
3c_Arm_Armoured_Armenian_Archers_comm,Armoured Armenian Archers Bodyguard,5,15,scale,15,inf_ranged,18,28,32,50,rome_spear_anti_cav,rome_recurve_bow_elite,23,none
3c_Arm_Armoured_Armenian_Pikemen,Armoured Armenian Pikemen,5,0,scale,15,inf_melee,9,39,23,55,rome_pike,,0,pikemen
3c_Arm_Armoured_Axe_Warriors,Armoured Axe Warriors,5,2,scale,15,inf_melee,25,43,26,45,rome_eastern_axe,rome_javelin_precursor,0,thureos
3c_Arm_Armoured_Horse_Archers,Armoured Horse Archers,5,13,scale,15,cavalry,14,36,13,45,rome_shortsword,rome_recurve_bow_horse,23,none
3c_Arm_Azat_Guard,Azat Guard,5,0,scale_elite,20,inf_melee,28,41,42,70,rome_spear_elite,,0,hoplite
3c_Arm_Azat_Guard_comm,Azat Guard Bodyguard,5,0,scale_elite,20,inf_melee,28,41,42,70,rome_spear_elite,,0,hoplite
3c_Arm_Azat_Knights,Azat Knights,5,0,scale,20,cavalry,40,53,35,70,rome_spear_cav_elite,,0,cavalry
3c_Arm_Azat_Knights_comm,Azat Knights Bodyguard,5,0,scale,20,cavalry,40,53,35,70,rome_spear_cav_elite,,0,cavalry
3c_Arm_Noble_Armenian_Archers,Noble Armenian Archers,5,15,scale_elite,15,inf_ranged,18,28,32,65,rome_spear_anti_cav,rome_composite_bow_elite,23,none
3c_Arm_Noble_Armenian_Archers_comm,Noble Armenian Archers Bodyguard,5,15,scale_elite,15,inf_ranged,18,28,32,65,rome_spear_anti_cav,rome_composite_bow_elite,23,none
3c_Arm_Noble_Armenian_Cavalry,Noble Armenian Cavalry,5,0,scale,15,cavalry,34,46,15,60,rome_spear_cav,,0,cavalry
3c_Arm_Noble_Cataphracts,Noble Cataphracts,5,0,cataphract_elite,20,cavalry,76,50,23,65,rome_lance_elite,,0,none
3c_Arm_Noble_Cataphracts_comm,Noble Cataphracts Bodyguard,5,0,cataphract_elite,20,cavalry,76,50,23,65,rome_lance_elite,,0,none
3c_Arm_Noble_Horse_Archers,Noble Horse Archers,5,15,cataphract,15,cavalry,22,39,19,55,rome_eastern_sword,rome_recurve_bow_horse,28,none
3c_Arm_Noble_Horse_Archers_comm,Noble Horse Archers Bodyguard,5,15,cataphract,15,cavalry,22,39,19,55,rome_eastern_sword,rome_recurve_bow_horse,28,none
3c_Arm_Persian_Spearmen,Persian Spearmen,5,0,padded,5,inf_melee,11,13,24,35,rome_spear,,0,tower
3c_Aux_African_Elephants,Auxiliary African Elephants,5,0,leather,15,elephants,36,54,21,55,tusks,,0,none
3c_Aux_Alae_Cavalry,Alae Cavalry,5,0,mail,15,cavalry,29,33,10,40,rome_spear_cav,,0,cavalry
3c_Aux_Alae_Clibanarii,Alae Clibanarii,5,0,cataphract_elite,20,cavalry,76,50,23,60,rome_lance_elite,,0,none
3c_Aux_Alae_Skirmishers,Alae Skirmishers,5,7,cloth,5,cavalry,4,9,13,35,rome_shortsword,rome_wooden_javelin,18,pelta_cavalry
3c_Aux_Arabian_Camel_Archers,Auxiliary Arabian Camel Archers,5,13,cloth,5,cavalry,8,16,15,35,rome_shortsword,rome_recurve_bow_horse,13,none
3c_Aux_Arabian_Camel_Spearmen,Auxiliary Arabian Camel Spearmen,5,0,padded,5,cavalry,25,28,10,40,rome_spear_cav,,0,caetra_cavalry
3c_Aux_Arabian_Spearmen,Auxiliary Arabian Spearmen,5,0,cloth,5,inf_melee,11,13,24,30,rome_spear,,0,oval
3c_Aux_Archers,Auxiliary Archers,5,15,cloth,5,inf_ranged,3,8,12,25,rome_shortsword,rome_bow,13,none
3c_Aux_Armenian_Archers,Auxiliary Armenian Archers,5,15,scale,15,inf_ranged,18,28,32,50,rome_spear_anti_cav,rome_recurve_bow_elite,23,none
3c_Aux_Armoured_Chariots,Auxiliary Armored Chariots,5,8,mail_improved,20,cavalry,35,46,42,70,rome_celtic_longsword,rome_javelin_improved,20,cavalry
3c_Aux_Armoured_Gallic_Spearmen,Auxiliary Armoured Gallic Spearmen,5,2,mail,15,inf_melee,22,26,42,55,rome_celtic_spear,rome_javelin_precursor,0,celtic
3c_Aux_Armoured_Pikemen,Auxiliary Armoured Pikemen,5,0,scale,15,inf_melee,9,39,23,45,rome_pike,,0,pikemen
3c_Aux_Bactrian_Hillmen,Auxiliary Bactrian Hillmen,5,2,cloth,5,inf_melee,10,28,11,25,rome_eastern_axe,rome_javelin_precursor,0,thureos
3c_Aux_Bactrian_Horse_Archers,Auxiliary Bactrian Horse Archers,5,13,spolas,15,cavalry,14,40,17,50,rome_kopis,rome_composite_bow_horse,23,none
3c_Aux_Bactrian_Light_Cavalry,Auxiliary Bactrian Light Cavalry,5,0,padded,10,cavalry,29,37,11,30,rome_spear_cav,,0,hoplite_cav
3c_Aux_Briton_Slingers,Auxiliary Briton Slingers,5,25,cloth,10,inf_ranged,3,8,12,30,rome_shortsword,rome_sling_improved,18,celtic_round
3c_Aux_Camel_Archers,Auxiliary Camel Archers,5,12,cloth,5,cavalry,8,16,15,35,rome_shortsword,rome_recurve_bow_horse,13,none
3c_Aux_Camel_Spearmen,Auxiliary Camel Spearmen,5,0,padded,5,cavalry,25,28,10,40,rome_spear_cav,,0,caetra_cavalry
3c_Aux_Cappadocian_Cavalry,Auxiliary Cappadocian Cavalry,5,0,scale,15,cavalry,38,49,17,60,rome_spear_cav_elite,,0,cavalry
3c_Aux_Celtic_Archers,Auxiliary Celtic Archers,5,15,cloth,5,inf_ranged,3,8,12,20,rome_shortsword,rome_bow,13,none
3c_Aux_Celtic_Heavy_Cavalry,Auxiliary Celtic Heavy Cavalry,5,0,leather,15,cavalry,39,42,22,50,rome_celtic_spear_cav,,0,cavalry
3c_Aux_Celtic_Horsemen,Auxiliary Celtic Horsemen,5,2,cloth,5,cavalry,31,38,10,30,rome_celtic_spear_cav,rome_javelin_precursor,0,cavalry
3c_Aux_Celtic_Spearmen,Auxiliary Celtic Spearmen,5,2,cloth,10,inf_melee,21,17,28,35,rome_celtic_spear_anti_cav,rome_javelin_precursor,0,celtic
3c_Aux_Celtic_Swordsmen,Auxiliary Celtic Swordsmen,5,2,leather,10,inf_melee,28,29,24,35,rome_celtic_longsword,rome_javelin_precursor,0,celtic
3c_Aux_Chariots,Auxiliary Chariots,5,8,mail,20,cavalry,32,43,39,60,rome_celtic_longsword,rome_javelin,20,cavalry
3c_Aux_Cretan_Archers,Auxiliary Cretan Archers,5,15,leather,15,inf_ranged,6,12,14,55,rome_shortsword,rome_composite_bow_elite,28,none
3c_Aux_Desert_Riders,Auxiliary Desert Riders,5,2,scale,10,cavalry,30,48,12,45,rome_generic_sword_cav,rome_javelin_precursor,0,caetra_cavalry
3c_Aux_Eastern_Heavy_Cavalry,Auxiliary Eastern Heavy Cavalry,5,0,scale,15,cavalry,34,44,15,50,rome_spear_cav_elite,,0,cavalry
3c_Aux_Eastern_Javelinmen,Auxiliary Eastern Javelinmen,5,7,cloth,5,inf_ranged,3,8,12,20,rome_shortsword,rome_javelin,13,pelta
3c_Aux_Eastern_Pikemen,Auxiliary Eastern Pikemen,5,0,scale,15,inf_melee,9,39,23,55,rome_pike,,0,pikemen
3c_Aux_Eastern_Spearmen,Auxiliary Eastern Spearmen,5,0,cloth,5,inf_melee,11,13,24,25,rome_spear,,0,tower
3c_Aux_Egyptian_Archers,Auxiliary Egyptian Archers,5,15,cloth,5,inf_ranged,3,8,12,25,rome_shortsword,rome_bow,13,none
3c_Aux_Egyptian_Infantry,Auxiliary Egyptian Infantry,5,2,padded,5,inf_melee,8,16,16,25,rome_shortsword,rome_javelin_precursor,0,thureos
3c_Aux_Egyptian_Pikemen,Auxiliary Egyptian Pikemen,5,0,padded,10,inf_melee,4,30,5,35,rome_pike_levy,,0,pikemen
3c_Aux_Gallic_Bowmen,Auxiliary Gallic Bowmen,5,15,cloth,5,inf_ranged,5,17,15,40,rome_shortsword,rome_bow_long,30,none
3c_Aux_Gallic_Cavalry,Auxiliary Gallic Cavalry,5,2,cloth,10,cavalry,39,42,16,45,rome_celtic_spear_cav,rome_javelin_precursor,0,caetra_cavalry
3c_Aux_Gallic_Heavy_Infantry,Auxiliary Gallic Heavy Infantry,5,2,mail_improved,20,inf_melee,35,48,39,50,rome_celtic_longsword_elite,rome_javelin_precursor,0,celtic
3c_Aux_Gallic_Skirmishers,Auxiliary Gallic Skirmishers,5,7,cloth,10,inf_ranged,3,8,12,25,rome_shortsword,rome_javelin,13,celtic_missile
3c_Aux_Gallic_Swordsmen,Auxiliary Gallic Swordsmen,5,2,cloth,10,inf_melee,20,25,28,40,rome_celtic_longsword,rome_javelin_precursor,0,celtic
3c_Aux_Germanic_Axe_Warriors,Auxiliary Germanic Axe Warriors,5,2,leather,15,inf_melee,24,37,20,45,rome_celtic_axe,rome_javelin_precursor,0,round
3c_Aux_Germanic_Falxmen,Auxiliary Germanic Falxmen,5,0,cloth,10,inf_melee,48,38,11,35,rome_falx,,0,none
3c_Aux_Germanic_Heavy_Infantry,Auxiliary Germanic Heavy Infantry,5,2,mail_improved,20,inf_melee,27,39,27,55,rome_celtic_longsword,rome_javelin_precursor,0,celtic
3c_Aux_Germanic_Hunters,Auxiliary Germanic Hunters,5,15,cloth,5,inf_ranged,5,17,15,40,rome_shortsword,rome_bow_long,30,none
3c_Aux_Germanic_Skirmishers,Auxiliary Germanic Skirmishers,5,7,cloth,10,inf_ranged,3,8,12,25,rome_shortsword,rome_javelin,13,celtic_missile
3c_Aux_Germanic_Spear_Masters,Auxiliary Germanic Spear Masters,5,2,mail_improved,15,inf_melee,24,30,44,65,rome_celtic_spear,rome_javelin_precursor,0,germanic_wood
3c_Aux_Germanic_Swordsmen,Auxiliary Germanic Swordsmen,5,2,leather,15,inf_melee,24,40,9,40,rome_celtic_hellenic_sword,rome_javelin_precursor,0,germanic_wood
3c_Aux_Hillmen,Auxiliary Hillmen,5,2,cloth,5,inf_melee,10,20,11,25,rome_eastern_axe,rome_javelin_precursor,0,pelta
3c_Aux_Horse_Skirmishers,Auxiliary Horse Skirmishers,5,7,cloth,5,cavalry,4,9,13,30,rome_shortsword,rome_javelin,18,pelta_cavalry
3c_Aux_Iberian_Cavalry,Auxiliary Iberian Cavalry,5,2,cloth,10,cavalry,31,50,10,40,rome_falcata_cav,rome_javelin_precursor,0,caetra_cavalry
3c_Aux_Iberian_Slingers,Auxiliary Iberian Slingers,5,25,cloth,5,inf_ranged,7,8,12,35,rome_shortsword,rome_sling,13,celtic_round
3c_Aux_Iberian_Swordsmen,Auxiliary Iberian Swordsmen,5,5,cloth,10,inf_melee,20,35,20,35,rome_falcata,rome_javelin_light,0,caetra
3c_Aux_Illyrian_Archers,Auxiliary Illyrian Archers,5,15,cloth,5,inf_ranged,3,8,12,25,rome_shortsword,rome_bow,13,none
3c_Aux_Illyrian_Armoured_Pikemen,Auxiliary Illyrian Armoured Pikemen,5,0,mail,15,inf_melee,9,39,23,55,rome_pike,,0,pikemen
3c_Aux_Illyrian_Cavalry,Auxiliary Illyrian Cavalry,5,0,chest,10,cavalry,30,28,20,45,rome_spear_cav,,0,cavalry
3c_Aux_Illyrian_Raiders,Auxiliary Illyrian Raiders,5,2,chest,5,inf_melee,16,34,15,45,rome_celtic_axe,rome_javelin_precursor,0,thureos
3c_Aux_Illyrian_Slingers,Auxiliary Illyrian Slingers,5,25,cloth,5,inf_ranged,3,8,12,25,rome_shortsword,rome_sling,13,small_bronze
3c_Aux_Illyrian_Swordsmen,Auxiliary Illyrian Swordsmen,5,2,chest,10,inf_melee,10,34,20,40,rome_gladius,rome_javelin_precursor,0,thureos
3c_Aux_Indian_War_Elephants,Auxiliary Indian War Elephants,5,15,leather,15,elephants,28,34,20,65,tusks,rome_composite_bow_elephant,15,none
3c_Aux_Lanciarii,Auxiliary Lanciarii,5,0,spolas,10,cavalry,52,36,16,35,rome_lance,,0,none
3c_Aux_Libyan_Infantry,Auxiliary Libyan Infantry,5,2,mail,15,inf_melee,18,41,26,50,rome_kopis,rome_javelin_precursor,0,thureos
3c_Aux_Numidian_Cavalry,Auxiliary Numidian Cavalry,5,7,cloth,10,cavalry,10,18,14,55,rome_shortsword,rome_javelin_improved,28,pelta_cavalry
3c_Aux_Numidian_Infantry,Auxiliary Numidian Infantry,5,0,cloth,5,inf_melee,11,13,24,30,rome_spear_anti_cav,,0,caetra
3c_Aux_Numidian_Javelinmen,Auxiliary Numidian Javelinmen,5,7,cloth,10,inf_ranged,4,10,13,45,rome_shortsword,rome_javelin,23,pelta
3c_Aux_Peltasts,Auxiliary Peltasts,5,7,spolas,10,inf_ranged,10,18,15,40,rome_shortsword,rome_javelin,18,peltast_thureos
3c_Aux_Persian_Archers,Auxiliary Persian Archers,5,15,cloth,10,inf_ranged,4,9,13,30,rome_shortsword,rome_recurve_bow,18,none
3c_Aux_Persian_Cataphracts,Auxiliary Persian Cataphracts,5,0,cataphract,15,cavalry,67,40,17,60,rome_lance,,0,none
3c_Aux_Persian_Cavalry,Auxiliary Persian Cavalry,5,0,padded,15,cavalry,29,45,18,40,rome_spear_cav,,0,cavalry
3c_Aux_Persian_Horse_Skirmishers,Auxiliary Persian Horse Skirmishers,5,7,cloth,10,cavalry,4,9,16,45,rome_shortsword,rome_javelin_improved,18,pelta_cavalry
3c_Aux_Persian_Skirmishers,Auxiliary Persian Skirmishers,5,7,cloth,5,inf_ranged,3,8,12,20,rome_shortsword,rome_javelin,13,small_round
3c_Aux_Persian_Spearmen,Auxiliary Persian Spearmen,5,0,padded,5,inf_melee,11,13,24,35,rome_spear,,0,tower
3c_Aux_Pontic_Cavalry,Auxiliary Pontic Cavalry,5,0,bronze,20,cavalry,76,46,17,60,rome_lance,,0,none
3c_Aux_Rhodian_Slingers,Auxiliary Rhodian Slingers,5,25,light_padded,15,inf_ranged,6,12,14,55,rome_shortsword,rome_sling_lead,28,small_bronze
3c_Aux_Sabean_Archers,Auxiliary Sabaean Archers,5,15,cloth,5,inf_ranged,3,8,12,25,rome_shortsword,rome_bow,13,none
3c_Aux_Sabean_Cavalry,Auxiliary Sabaean Cavalry,5,2,cloth,15,cavalry,28,46,10,40,rome_generic_sword_cav,rome_javelin_precursor,0,caetra_cavalry
3c_Aux_Sabean_Spearmen,Auxiliary Sabaean Spearmen,5,0,cloth,5,inf_melee,11,13,24,30,rome_spear,,0,tower
3c_Aux_Sarmatian_Horse_Archers,Auxiliary Sarmatian Horse Archers,5,13,cloth,10,cavalry,4,9,13,30,rome_shortsword,rome_composite_bow_horse,18,none
3c_Aux_Sarmatian_Light_Cavalry,Auxiliary Sarmatian Light Cavalry,5,0,cloth,10,cavalry,35,39,11,40,rome_celtic_spear_cav,,0,caetra_fast_cav
3c_Aux_Scutarii,Auxiliary Scutarii,5,2,chest,15,inf_melee,21,42,30,45,rome_falcata,rome_iron_javelin,0,celtic
3c_Aux_Scutarii_Cavalry,Auxiliary Scutarii Cavalry,5,0,chest,15,cavalry,37,42,24,55,rome_spear_cav,,0,cavalry
3c_Aux_Scythed_Chariots,Auxiliary Scythed Chariots,5,0,scale_elite,15,cavalry,45,54,29,55,rome_gladius,,0,none
3c_Aux_Spear_Infantry,Auxiliary Spear Infantry,5,0,mail,10,inf_melee,15,18,30,45,rome_spear,,0,oval
3c_Aux_Steppe_Cavalry,Auxiliary Steppe Cavalry,5,0,scale,15,cavalry,38,48,17,50,rome_celtic_spear_cav,,0,germanic_cav
3c_Aux_Steppe_Warriors,Auxiliary Steppe Warriors,5,0,padded,5,inf_melee,14,30,14,20,rome_celtic_axe,,0,caetra
3c_Aux_Swordsmen,Auxiliary Swordsmen,5,2,chest,10,inf_melee,10,34,20,40,rome_gladius,rome_javelin_precursor,0,thureos
3c_Aux_Swordsmen_comm,Auxiliary Swordsmen Bodyguard,5,2,chest,10,inf_melee,10,34,20,40,rome_gladius,rome_javelin_precursor,0,thureos
3c_Aux_Syrian_Archers,Auxiliary Syrian Archers,5,15,scale,15,inf_ranged,4,10,13,40,rome_shortsword,rome_recurve_bow_elite,23,none
3c_Aux_Thracian_Cavalry,Auxiliary Thracian Cavalry,5,0,leather,15,cavalry,31,31,16,45,rome_celtic_spear_cav,,0,cavalry
3c_Aux_Thracian_Heroic_Riders,Auxiliary Thracian Heroic Riders,5,2,bronze,20,cavalry,43,49,16,70,rome_spear_cav_elite,rome_javelin_precursor,0,cavalry
3c_Aux_Thracian_Horse_Skirmishers,Auxiliary Thracian Horse Skirmishers,5,7,cloth,10,cavalry,10,14,13,35,rome_shortsword,rome_javelin,18,cavalry
3c_Aux_Thracian_Light_Cavalry,Auxiliary Thracian Light Cavalry,5,0,cloth,10,cavalry,33,39,11,45,rome_celtic_spear_cav,,0,caetra_fast_cav
3c_Aux_Thracian_Slingers,Auxiliary Thracian Slingers,5,25,cloth,5,inf_ranged,3,12,12,25,rome_shortsword,rome_sling,13,pelta
3c_Aux_Thracian_Warriors,Auxiliary Thracian Warriors,5,0,cloth,10,inf_melee,36,46,12,40,rome_rhomphaia,,0,thracian
3c_Bri_Ballista,Briton Ballista,5,15,cloth,5,artillery,6,9,14,45,rome_shortsword,,4,none
3c_Bri_Ballista_Bastion,Briton Bastion Ballista,5,25,cloth,0,artillery,6,9,14,45,rome_shortsword,,20,none
3c_Bri_Cheiroballistra,Briton Scorpion,5,40,cloth,5,artillery,6,9,14,40,rome_shortsword,,4,none
3c_Bri_Giant_Ballista,Briton Giant Ballista,5,15,cloth,5,artillery,6,9,14,40,rome_shortsword,,4,none
3c_Bri_Large_Onager,Briton Heavy Onager,5,15,cloth,5,artillery,7,9,14,40,rome_shortsword,,4,none
3c_Bri_Onager,Briton Onager,5,15,cloth,5,artillery,6,9,14,40,rome_shortsword,,4,none
3c_Bri_Onager_Bastion,Briton Bastion Onager,5,25,cloth,0,artillery,6,9,14,40,rome_shortsword,,20,none
3c_Bri_Scorpion,Briton Scorpion (Fixed),5,30,cloth,5,artillery,6,9,14,40,rome_shortsword,,4,none
3c_Bri_Scorpion_Bastion,Briton Bastion Scorpion,5,40,cloth,0,artillery,6,9,14,40,rome_shortsword,,20,none
3c_Cal_Ambushers,Ambushers,5,5,none,10,inf_ranged,32,32,30,40,rome_celtic_longsword_bonus_infantry,rome_javelin_light_nonprecursor,0,celtic_shock
3c_Cal_Armoured_Chariots,Armoured Chariots,5,8,mail_improved,20,cavalry,35,46,42,70,rome_celtic_longsword,rome_javelin_improved,20,cavalry
3c_Cal_Armoured_Chariots_comm,Armoured Chariots Bodyguard,5,8,mail_improved,20,cavalry,35,46,42,70,rome_celtic_longsword,rome_javelin_improved,20,cavalry
3c_Cal_Caledonian_Heroic_Riders,Caledonii Heroic Riders,5,0,mail,20,cavalry,46,49,24,70,rome_celtic_spear_cav_elite,,0,cavalry
3c_Cal_Caledonian_Heroic_Riders_comm,Heroic Riders Bodyguard,5,0,mail,20,cavalry,46,49,24,70,rome_celtic_spear_cav_elite,,0,cavalry
3c_Cal_Caledonian_Oathsworn,Caledonii Oathsworn,5,2,mail,20,inf_melee,32,43,39,70,rome_celtic_longsword_elite,rome_javelin_precursor,0,celtic
3c_Cal_Caledonian_Oathsworn_comm,Caledonii Oathsworn Bodyguard,5,2,mail,20,inf_melee,32,43,39,70,rome_celtic_longsword_elite,rome_javelin_precursor,0,celtic
3c_Cal_Caledonian_Spear_Wall,Caledonii Spear Wall,5,2,mail,15,inf_melee,22,28,40,55,rome_celtic_spear_anti_cav,rome_javelin_precursor,0,celtic
3c_Cal_Chosen_Sword_Band,Chosen Sword Band,5,2,mail,15,inf_melee,29,33,29,50,rome_celtic_longsword,rome_javelin_precursor,0,celtic
3c_Cal_Elite_Highland_Archers,Elite Highland Archers,5,15,leather,15,inf_ranged,6,12,18,65,rome_celtic_hellenic_sword,rome_longbow,28,none
3c_Cal_Highland_Archers,Highland Archers,5,15,cloth,15,inf_ranged,6,12,14,55,rome_celtic_hellenic_sword,rome_longbow,28,none
